Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
1/14/2019,198.3,177.45,182.4,18935120,34220.07614,39885
1/15/2019,185.8,181.25,185.35,13536578,24850.39487,36052
1/16/2019,187.35,184.05,185.45,11874245,22042.41788,34643
1/17/2019,187.3,183.4,184.9,9365756,17343.04928,20752
1/18/2019,185.65,181.3,183.3,6797621,12466.63274,19701
1/21/2019,184.95,180.65,181.5,6918258,12605.80457,21375
1/22/2019,181.5,175.95,180.85,9775717,17517.43502,36642
1/23/2019,182.7,178.55,180.25,9778926,17642.16,26093
1/24/2019,180.3,173.7,175.4,13461254,23657.94416,43055
1/25/2019,178.9,171.95,173.25,12136892,21371.57216,39231
1/28/2019,175.35,169.4,172.3,8167430,14044.35304,39070
1/29/2019,174.9,170.9,173.6,6141180,10638.29114,36653
1/30/2019,176.75,173.3,174.6,7757847,13566.30813,34072
1/31/2019,183.9,175.8,181.2,22277646,39810.40186,55481
2/1/2019,185.9,179.55,181.65,14931422,27294.92471,34116
2/4/2019,183.7,178.2,180.25,11854351,21421.0768,24887
2/5/2019,181.15,174.7,175.8,12064426,21314.15823,25864
2/6/2019,179.45,171.9,178.5,10334594,18155.88585,26249
2/7/2019,185,178.9,182.85,16152722,29477.57761,47911
2/8/2019,164.6,129,150.7,102256857,154663.1739,225476
2/11/2019,153.25,145.85,152.65,26161867,39299.93775,64088
2/12/2019,154.4,150.6,151.8,14174912,21623.067,47352
2/13/2019,156.65,151.5,155,15340343,23674.51306,37856
2/14/2019,161,153.8,159.85,16348306,25733.75483,49126
2/15/2019,162.3,153.15,161.65,20705576,32704.40371,50592
2/18/2019,163.45,159.2,162.9,13503666,21787.43149,28548
2/19/2019,165.95,161.55,163.75,14533142,23845.97026,34295
2/20/2019,166.7,163.75,164.8,11610728,19165.19176,27058
2/21/2019,170.6,165.1,169.7,14811723,24905.92243,36601
2/22/2019,175.3,167.85,174.3,13011477,22342.71631,35998
2/25/2019,177.5,173.5,175.75,15554532,27256.11124,53824
2/26/2019,183.45,172.5,182.65,31859427,57362.80849,77385
2/27/2019,186.1,176.1,177.35,19723906,35596.91941,77974
2/28/2019,181.55,176.6,177.45,18692372,33470.41332,60448
3/1/2019,184,177.35,180.3,20539919,37063.46256,51060
3/5/2019,198.35,181.4,194.05,58138551,111739.0938,99094
3/6/2019,195.4,187.75,188.8,22468702,42884.86667,36454
3/7/2019,193.45,187.8,189.3,27051501,51498.4561,38003
3/8/2019,187.95,180,181.2,28012914,51305.98168,50403
